id,DiseaseState
hiv_lozupone,HIV
autism_kb,ASD
asd_son,ASD
cdi_schubert,CDI
cdi_vincent_v3v5,CDI
cdi_youngster,CDI
crc_baxter,CRC
crc_xiang,CRC
crc_zackular,CRC
crc_zeller,CRC
crc_zhao,CRC
edd_singh,EDD
hiv_dinh,HIV
hiv_noguerajulian,HIV
ibd_alm,CD
ibd_engstrand_maxee,CD
ibd_gevers_2014,CD
ibd_huttenhower,CD
mhe_zhang,MHE
nash_chan,NASH
nash_ob_baker,NASH
ob_escobar,OB
ob_goodrich,OB
ob_gordon_2008_v2,OB
ob_jumpertz,OB
ob_ross,OB
ob_zeevi,OB
ob_zupancic,OB
par_scheperjans,PAR
ra_littman,RA
t1d_alkanani,T1D
t1d_mejialeon,T1D
