index,interported_auc,auc
ob_wu,0.8700668299153149,0.8693333333333334
autism_kb,0.7978660340781552,0.7970833333333335
asd_son,0.5326569567731184,0.5310606060606061
cdi_schubert,0.9851814725949624,0.9852964534993397
cdi_vincent_v3v5,0.9251919191919191,0.9248000000000001
cdi_youngster,0.9931966976158895,0.9931666666666666
crc_baxter,0.8391023553590399,0.8392689989039094
crc_xiang,0.667167176818692,0.6669749999999999
crc_zackular,0.5928988538584496,0.5920666666666666
crc_zeller,0.8313501391986241,0.830813492063492
crc_zhao,0.9081588613406792,0.9061767676767677
edd_singh,0.9335435797367616,0.9331472630718953
hiv_dinh,0.5489646464646464,0.5451666666666667
hiv_noguerajulian,0.7539942094912607,0.7517956892124045
ibd_alm,0.8443180797877767,0.8443461538461539
ibd_engstrand_maxee,0.7022674670385107,0.7032625152625153
ibd_gevers_2014,0.74445396728225,0.7441005747126437
ibd_huttenhower,0.7726474849505153,0.7728551506972559
mhe_zhang,0.8518234873992452,0.8510111111111113
nash_chan,0.5087200042755597,0.5078571428571429
nash_ob_baker,0.9383888888888888,0.9375000000000001
ob_escobar,0.9501515151515152,0.95
ob_goodrich,1.0,1.0
ob_gordon_2008_v2,0.8699207439586228,0.8699786324786325
ob_jumpertz,0.9489158249158249,0.9493333333333337
ob_ross,0.9122725997347209,0.9117559523809524
ob_zeevi,0.9998502264019505,0.9998390804597702
ob_zupancic,0.5860393837363534,0.5854242366863905
par_scheperjans,0.6880347777923534,0.687651700680272
ra_littman,0.6623389770151504,0.6609858387799565
t1d_alkanani,0.7302242118151209,0.7266046831955922
t1d_mejialeon,0.8483383838383839,0.848
