index,interported_auc,auc
ob_wu,0.8595158657279869,0.8589166666666667
autism_kb,0.7359152127333944,0.7352083333333335
asd_son,0.5507373822399075,0.5492171717171718
cdi_schubert,0.9886357975321808,0.9886178079607622
cdi_vincent_v3v5,0.9156161616161617,0.9152
cdi_youngster,0.989090909090909,0.9890000000000001
crc_baxter,0.8175390823608293,0.817833759590793
crc_xiang,0.7691451382511988,0.7686250000000001
crc_zackular,0.5349502771826005,0.5340666666666667
crc_zeller,0.8171417007982665,0.8166230158730159
crc_zhao,0.8867876577220011,0.8848358585858586
edd_singh,0.9256004076714861,0.9254237225193107
hiv_dinh,0.632090909090909,0.629
hiv_noguerajulian,0.6969170755784113,0.6944931636647007
ibd_alm,0.8365433629221506,0.8368406593406593
ibd_engstrand_maxee,0.6714060016551598,0.6720115995115995
ibd_gevers_2014,0.7114620106791824,0.7113534482758621
ibd_huttenhower,0.7946610549943882,0.7946729644624381
mhe_zhang,0.8998321599836752,0.8989555555555555
nash_chan,0.5360193566254171,0.5351190476190477
nash_ob_baker,0.9355101010101009,0.9346666666666665
ob_escobar,0.9800000000000001,0.98
ob_goodrich,1.0,1.0
ob_gordon_2008_v2,0.8634832611272005,0.8635277777777778
ob_jumpertz,0.9263911845730026,0.9268571428571428
ob_ross,0.9150528918331948,0.9145119047619049
ob_zeevi,0.9998913692832186,0.9998810247418664
ob_zupancic,0.6252730616185161,0.6245979881656806
par_scheperjans,0.7009945486612152,0.7009789115646258
ra_littman,0.6463012777807785,0.6450991285403049
t1d_alkanani,0.7060376492194674,0.7022038567493112
t1d_mejialeon,0.822080808080808,0.8215
