index,interported_auc,auc
ob_wu,0.4859354487637315,0.48525000000000007
autism_kb,0.7966666666666666,0.79625
asd_son,0.4269799000102029,0.42514309764309766
cdi_schubert,0.9861261392023856,0.9862061246305729
cdi_vincent_v3v5,0.9144079175594326,0.9140000000000001
cdi_youngster,0.9929040404040403,0.9928333333333333
crc_baxter,0.7744500389687554,0.7744768907563025
crc_xiang,0.7006614121008059,0.7002000000000002
crc_zackular,0.5812784409754107,0.5794444444444445
crc_zeller,0.8243390810461516,0.8240092592592592
crc_zhao,0.9082012039587797,0.9062499999999997
edd_singh,0.9313756174339953,0.9312036913250149
hiv_dinh,0.5238535353535353,0.52
hiv_noguerajulian,0.7617939217190054,0.7596807643943823
ibd_alm,0.8204448525660647,0.8211758241758242
ibd_engstrand_maxee,0.674542246256051,0.6752789987789987
ibd_gevers_2014,0.756493781813647,0.7567902298850575
ibd_huttenhower,0.755011631466177,0.7550422852001799
mhe_zhang,0.8579668401183553,0.8571888888888889
nash_chan,0.5454361313957272,0.5447261904761905
nash_ob_baker,0.9408333333333333,0.94
ob_escobar,0.8554545454545457,0.855
ob_goodrich,0.6431168491854298,0.6430535114907585
ob_gordon_2008_v2,0.8718364138667167,0.8718376068376068
ob_jumpertz,0.9458586878889909,0.9463333333333336
ob_ross,0.5123330345300043,0.510875
ob_zeevi,0.576648687007653,0.5765723432444573
ob_zupancic,0.5446047247926036,0.5442192426035503
par_scheperjans,0.6780224126789782,0.6775888888888888
ra_littman,0.6522657251861055,0.6509847494553377
t1d_alkanani,0.7333302724211814,0.7296556473829202
t1d_mejialeon,0.8129746454443424,0.8125
