index,interported_auc,auc
ob_wu,0.44622895622895625,0.44549999999999995
autism_kb,0.7949808692990511,0.7943750000000002
asd_son,0.42815669319457195,0.42643518518518514
cdi_schubert,0.9864784304432398,0.9864926114569578
cdi_vincent_v3v5,0.9265695337210488,0.9259999999999999
cdi_youngster,0.9925757575757576,0.9925
crc_baxter,0.7710683054978954,0.7710409663865546
crc_xiang,0.659050505050505,0.6583500000000001
crc_zackular,0.5485842941196476,0.5479999999999999
crc_zeller,0.8345329145228135,0.8339398148148147
crc_zhao,0.90367258443016,0.9016818181818183
edd_singh,0.931665803909565,0.9315391228461081
hiv_dinh,0.5318484848484848,0.528
hiv_noguerajulian,0.7550824871995373,0.7527707525282044
ibd_alm,0.8159475563717986,0.8163021978021979
ibd_engstrand_maxee,0.668919883458604,0.6696422466422466
ibd_gevers_2014,0.7483238104955275,0.7482816091954022
ibd_huttenhower,0.7555500459136822,0.7553063427800271
mhe_zhang,0.8410894806652383,0.840288888888889
nash_chan,0.5149724517906336,0.5142857142857143
nash_ob_baker,0.9365050505050505,0.9356666666666666
ob_escobar,0.8404040404040405,0.84
ob_goodrich,0.6358490795439227,0.635809030300933
ob_gordon_2008_v2,0.8652448298054358,0.8653226495726497
ob_jumpertz,0.9370736659524537,0.9376190476190476
ob_ross,0.5047550177095631,0.5035535714285714
ob_zeevi,0.5576594963919937,0.5573402980713034
ob_zupancic,0.5509715947352312,0.5505093964497042
par_scheperjans,0.6749511274359759,0.6745410430839003
ra_littman,0.6527269626348653,0.6514117647058824
t1d_alkanani,0.7034006734006732,0.6993181818181817
t1d_mejialeon,0.7884595959595959,0.7880000000000001
