index,interported_auc,auc
ob_wu,0.44091691324014554,0.43975000000000003
autism_kb,0.7200818794000612,0.7193750000000001
asd_son,0.44202938475665743,0.44012626262626264
cdi_schubert,0.9890730274395964,0.98906769163051
cdi_vincent_v3v5,0.9101414141414141,0.9096000000000001
cdi_youngster,0.9917171717171718,0.9916666666666666
crc_baxter,0.7442584953173189,0.7441095938375349
crc_xiang,0.7524330680542801,0.7516750000000001
crc_zackular,0.5324584226099377,0.5305555555555556
crc_zeller,0.8218836853382306,0.8213333333333334
crc_zhao,0.8919765840220386,0.8899065656565657
edd_singh,0.9265206168938344,0.926233734402852
hiv_dinh,0.6445505050505049,0.6415000000000001
hiv_noguerajulian,0.6931452017294958,0.6905767493756972
ibd_alm,0.8153692480359147,0.8154175824175823
ibd_engstrand_maxee,0.6600746295729462,0.6604652014652014
ibd_gevers_2014,0.7232401455633778,0.7229827586206896
ibd_huttenhower,0.7718110396898277,0.7720283400809715
mhe_zhang,0.9043905723905723,0.9037777777777778
nash_chan,0.5685733720077154,0.567797619047619
nash_ob_baker,0.938020202020202,0.9371666666666668
ob_escobar,0.9401010101010101,0.94
ob_goodrich,0.6251785625031239,0.6252162630441983
ob_gordon_2008_v2,0.8586964830904223,0.8587756410256411
ob_jumpertz,0.9430716253443526,0.9433333333333335
ob_ross,0.39618238663693206,0.3945595238095238
ob_zeevi,0.5852597606344755,0.5851840409864496
ob_zupancic,0.5630895293258928,0.5625718106508876
par_scheperjans,0.6960825425976941,0.6955589569160998
ra_littman,0.6474201311990974,0.6461383442265796
t1d_alkanani,0.6884465870829507,0.6845316804407713
t1d_mejialeon,0.7585329558208346,0.75775
